Valence,Energy,ID Check
0.284,0.479,0rKtyWc8bvkriBthvHKY8d
0.394,0.73,7f1zjZG77S891Uv4O68yfk
0.678,0.772,3WyRgi8CzQnhzO0xw79tTS
0.536,0.587,3Ol2xnObFdKV9pmRD2t9x8
0.528,0.669,6qWSHYcZEvE0MIcH2WmB23
0.816,0.755,2qMnZF5Ja2WvmfbblByQza
0.274,0.636,2t8yVaLvJ0RenpXUIAC52d
0.291,0.538,75ZvA4QfFiZvzhj2xkaWAh
0.657,0.679,4ak7xjvBeBOcJGWFDX9w5n
0.258,0.493,1FUVCa49nKsPRuznGVrIFY
0.351,0.32,5hQSXkFgbxjZo9uCwd11so
0.707,0.68,6foY66mWZN0pSRjZ408c00
0.58,0.786,4R8BJggjosTswLxtkw8V7P
0.629,0.649,0BOmhToQ03yOdpzYKMEnAg
0.404,0.678,6oJ6le65B3SEqPwMRNXWjY
0.533,0.488,5p7ujcrUXASCNwRaWNHR1C
0.313,0.638,3A2yGHWIzmGEIolwonU69h
0.185,0.26,6OG05bPAwUuV3OMvy2Vy1P
0.763,0.79,4bTZeO72FwMa6wKOiqoynL
0.241,0.0694,5tyMJlMqaggzvuX7TtlrTe
0.579,0.311,3707IBa4HnS3zDDoWfeUBl
0.244,0.545,3QzAOrNlsabgbMwlZt7TAY
0.382,0.402,2rxQMGVafnNaRaXlRMWPde
0.412,0.653,3e9HZxeyfWwjeyPAMmWSSQ
0.579,0.759,7BlBVFwvbWvcwNcUarQmjk
0.437,0.391,7m9OqQk4RVRkw9JJdeAw96
0.196,0.389,4SSnFejRGlZikf02HLewEF
0.64,0.863,7nfmK6oHPDlAd68A11d7AN
0.711,0.537,0JP9xo3adEtGSdUEISiszL
0.0561,0.529,03sEzk1VyrUZSgyhoQR0LZ
0.315,0.298,3hwQhakFwm9soLEBnSDH17
0.504,0.603,0FZ4Dmg8jJJAPJnvBIzD9z
0.759,0.768,6kls8cSlUyHW2BUOkDJIZE
0.459,0.56,3swc6WTsr7rl9DqQKQA55C
0.224,0.404,4u7EnebtmKWzUH433cf5Qv
0.203,0.529,4VXIryQMWpIdGgYR4TrjT1
0.404,0.415,0HJvoOkpflwYJb21VkTmGD
0.492,0.804,3a1lNhkSLSkpJE4MSHpDu9
0.651,0.642,36orMWv2PgvnzXsd5CJ0yL
0.335,0.57,3npzogdOEiVsieXmmhBepL
0.615,0.552,1ThmUihH9dF8EV08ku5AXN
0.874,0.496,0DiDStADDVh3SvAsoJAFMk
0.255,0.555,0rFQ5cKYJ9WtHSKp9sxVYt
0.422,0.528,4XiGKQqbmnMVxDzUj6j3f2
0.523,0.474,2JdIqJBbIiwEah4ejqIWGj
0.493,0.558,7zLYKWcXnYeHHWidalz7rj
0.192,0.23,6ERZ30cRjVWGtVLhczX9aL
0.196,0.628,6xcJyGpfZbuuiequtnlKt4
0.42,0.603,3LxG9HkMMFP0MZuiw3O2rF
0.335,0.554,4kV4N9D1iKVxx1KLvtTpjS
0.401,0.75,7GX5flRQZVHRAGd6B4TmDO
0.347,0.52,6Qs4SXO9dwPj5GKvVOv8Ki
0.144,0.554,7lAK3oHbfEnvUQWosrMMpR
0.742,0.743,14mHfNsSHN0FbLftyjrV9g
0.257,0.703,1gZFRYcPz3wKevEaNYRwfW
0.65,0.726,58q2HKrzhC3ozto2nDdN4z
0.0677,0.303,4qUtC2BwFC154Ha8YQRrkk
0.265,0.496,1fzAuUVbzlhZ1lJAx9PtY6
0.421,0.182,4AYtqFyFbX0Xkc2wtcygTr
0.341,0.44,5kfNriitmkNE8mUbZ7gbq8
0.507,0.53,0F7FA14euOIX8KcbEturGH
0.387,0.566,2xKDKtJBLDPd7BF3VmSQQO
0.179,0.412,7oTE1KmtU2ml9zBhv9Reao
0.562,0.346,6vN77lE9LK6HP2DewaN6HZ
0.681,0.904,1rqqCSm0Qe4I9rUvWncaom
0.431,0.453,4ZT9FnbFu1PaBfV3itxiqT
0.152,0.854,2iUXsYOEPhVqEBwsqP70rE
0.939,0.791,25ZAibhr3bdlMCLmubZDVt
0.494,0.581,42fw0rxRO2xbesF6mJfd4Y
0.261,0.625,1xzBco0xcoJEDXktl7Jxrr
0.423,0.412,0TlLq3lA83rQOYtrqBqSct
0.329,0.533,7AQim7LbvFVZJE3O8TYgf2
0.323,0.385,2VxeLyX666F8uXCJ0dZF8B
0.588,0.722,6nBQFAIVFmAx2oZ8p6lUg6
0.516,0.538,6U0FIYXCQ3TGrk4tFpLrEA
0.91,0.823,1DhRbox3xkceP64k3JeYfW
0.357,0.449,6DCZcSspjsKoFjzjrWoCdn
0.589,0.772,4e4fqjx0Izh4svvTef1z7e
0.845,0.67,5wujBwqG7INdStqGd4tRMX
0.45,0.43,4dAMdQ6g4kGmnc1MDHsg77
0.157,0.37,2uIX8YMNjGMD7441kqyyNU
0.359,0.613,2toVe5hfuIi97ytDPDbQFt
0.12,0.131,6CcJMwBtXByIz4zQLzFkKc
0.219,0.625,58neYWG7UyoQI0IC8lhfP5
0.385,0.882,5PYQUBXc7NYeI1obMKSJK0
0.159,0.584,39zWYYZStDgWi32sOU9AX4
0.282,0.351,3Fj47GNK2kUF0uaEDgXLaD
0.217,0.752,1dyxS3YzBbL0t8rEVwVQ1K
0.545,0.175,1SmiQ65iSAbPto6gPFlBYm
0.501,0.702,1SNiXDwSilLujcYdvfqVpT
0.753,0.587,1ITsmuChPVC05ogvorAyVu
0.534,0.758,4VginDwYTP2eaHJzO0QMjG
0.226,0.642,6EOKwHETwSkZ9gW2b6ASE0
0.412,0.624,5qmq61DAAOUaW8AUo8xKhh
0.749,0.548,6v3KW9xbzN5yKLt9YKDYA2
0.175,0.653,6vBdBCoOhKHiYDDOcorfNo
0.453,0.543,1dGr1c8CrMLDpV6mPbImSI
0.137,0.454,6XHVuErjQ4XNm6nDPVCxVX
0.101,0.502,5ry2OE6R2zPQFDO85XkgRb
0.913,0.479,3KkXRkHbMCARz0aVfEt68P
0.475,0.594,6fTt0CH2t0mdeB2N9XFG5r
0.206,0.517,3s4mrPrEFFPF0LmAfutW0n
0.562,0.425,2Fxmhks0bxGSBdJ92vM42m
0.446,0.405,7qEHsqek33rTcFNT9PFqLf
0.633,0.658,3RauEVgRgj1IuWdJ9fDs70
0.844,0.662,2gwkD6igEhQbDQegRCcdoB
0.702,0.795,0Ryd8975WihbObpp5cPW1t
0.546,0.647,70eFcWOvlMObDhURTqT4Fv
0.496,0.391,51Fjme0JiitpyXKuyQiCDo
0.714,0.671,6RRNNciQGZEXnqk8SQ9yv5
0.186,0.561,6alCTRgBPoeAFi2N4il9Q4
0.535,0.919,3Yh9lZcWyKrK9GjbhuS0hR
0.46,0.463,5MPPttjfGap2C6j6eKcO6J
0.345,0.682,6b2RcmUt1g9N9mQ3CbjX2Y
0.892,0.596,1GeNui6m825V8jP4uKiIaH
0.564,0.702,1BxfuPKGuaTgP7aM0Bbdwr
0.385,0.665,0DZJACISivjWjscIp5Kg1q
0.57,0.814,5N1o6d8zGcSZSeMFkOUQOk
0.559,0.651,5Z8HZM6iQMhhqyPcCGY5g9
0.541,0.316,43rA71bccXFGD4C8GOpIlN
0.678,0.559,7aiClxsDWFRQ0Kzk5KI5ku
0.639,0.619,2YpeDb67231RjR0MgVLzsG
0.831,0.532,3TLwAp3uX1nKsVxrDhNPOL
0.261,0.639,6uFn47ACjqYkc0jADwEdj1
0.905,0.743,643PW82aBMUa1FiWi5VQY7
0.568,0.511,67XyC1GdSkKb9sbRRkUDXS
0.288,0.538,44ADyYoY5liaRa3EOAl4uf
0.51,0.582,5xjei7JnROsAzLY2a7RdZU
0.312,0.525,2zjGJ0dChMR0KxBZS15aqo
0.346,0.4,6TqXcAFInzjp0bODyvrWEq
0.843,0.676,0hVXuCcriWRGvwMV1r5Yn9
0.881,0.887,0rIAC4PXANcKmitJfoqmVm
0.865,0.719,4y5bvROuBDPr5fuwXbIBZR
0.385,0.539,6MWtB6iiXyIwun0YzU6DFP
0.54,0.593,1rgnBhdG2JDFTbYkYRZAku
0.463,0.364,2JvzF1RMd7lE3KmFlsyZD8
0.678,0.558,322tcqPhma7F6hfCeLisx0
0.609,0.808,2ksOAxtIxY8yElEWw8RhgK
0.413,0.498,5hVghJ4KaYES3BFUATCYn0
0.446,0.73,2xLMifQCjDGFmkHkpNLD9h
0.397,0.463,6moU77g9RQyMzHNuKEaQKq
0.605,0.65,6cjSh516BbrNUs213jDAGm
0.265,0.687,2B9wgj9XzbJZLty03PRbVo
0.416,0.366,2YWtcWi3a83pdEg3Gif4Pd
0.728,0.83,2Rk4JlNc2TPmZe2af99d45
0.487,0.747,214nt20w5wOxJnY462klLw
0.138,0.215,3RIgHHpnFKj5Rni1shokDj
0.695,0.547,4sjiIpEv617LDXaidKioOI
0.554,0.519,4a6q8CR2hzLk2plDkSxkfD
0.357,0.505,6wo37KVqFJhtuxPTpLCcfe
0.439,0.623,4hPpVbbakQNv8YTHYaOJP4
0.248,0.624,12M5uqx0ZuwkpLp5rJim1a
0.584,0.488,7rvyVWja33WG9R97oeJAjx
0.434,0.662,1wJRveJZLSb1rjhnUHQiv6
0.544,0.496,2IRZnDFmlqMuOrYOLnZZyc
0.322,0.502,0UPBidRYcgJ2mjZlk08V8x
0.218,0.566,285pBltuF7vW8TeWk8hdRR
0.389,0.662,78QR3Wp35dqAhFEc2qAGjE
0.557,0.71,1LLXZFeAHK9R4xUramtUKw
0.207,0.603,3XiNC94b4Tq1xwv70sQJGN
0.244,0.624,2TH65lNHgvLxCKXM3apjxI
0.42,0.461,26wLOs3ZuHJa2Ihhx6QIE6
0.74,0.73,7eBqSVxrzQZtK2mmgRG6lC
0.166,0.574,3pHkh7d0lzM2AldUtz2x37
0.496,0.538,0Oqc0kKFsQ6MhFOLBNZIGX
0.313,0.732,2dgFqt3w9xIQRjhPtwNk3D
0.131,0.67,1kK6DwzyXJSp58u5HYWwuD
0.952,0.734,22vgEDb5hykfaTwLuskFGD
0.12,0.296,0u2P5u6lvoDfwTYjAADbn4
0.327,0.317,6ocbgoVGwYJhOv1GgI9NsF
0.452,0.676,5rU6kDNXZLXIinFezpbWbO
0.843,0.889,0k664IuFwVP557Gnx7RhIl
0.587,0.811,5KBARWIxeMGkvUax9VtVC9
0.341,0.578,7dt6x5M1jzdTEt8oCbisTK
0.811,0.678,5dW1VZPcFqB4n0P08rGDgm
0.198,0.111,43zdsphuZLzwA9k4DJhU0I
0.129,0.52,0e7ipj03S05BNilyu5bRzt
0.137,0.559,3j84U36KvLeXNDPv4t5pI8
0.599,0.509,00ko9WaS4jOX1kEk3gvHjf
0.87,0.823,2bT1PH7Cw3J9p3t7nlXCdh
0.556,0.428,6PYnUsNEpYC7A4BS2sjw3L
0.549,0.635,2rMAtCaTj16NptyVfEIeAC
0.203,0.452,7MtVPRGtZl6rPjMfLoI3Lh
0.112,0.552,6zeeWid2sgw4lap2jV61PZ
0.479,0.59,4hanO6Du5J7QEguNHYZHmw
0.578,0.692,6Hj9jySrnFppAI0sEMCZpJ
0.671,0.792,2dpaYNEQHiRxtZbfNsse99
0.329,0.686,7FGq80cy8juXBCD2nrqdWU
0.399,0.449,1SymEzIT3H8UZfibCs3TYi
0.591,0.644,0Rx0DJI556Ix5gBny6EWmn
0.386,0.438,3GJ4hzg4lrGwU51Y3VARbF
0.329,0.588,2sqsNXfN0HtgDEgaHXiUTa
0.196,0.477,3AEgic4yp82NxMWUjHtxnO
0.43,0.728,6gBFPUFcJLzWGx4lenP6h2
0.473,0.613,3ee8Jmje8o58CHK66QrVC2
0.284,0.479,0rKtyWc8bvkriBthvHKY8d
0.429,0.646,0fea68AdmYNygeTGI4RC18
0.371,0.758,6osaMSJh9NguagEDQcZaKx
0.337,0.624,2ZGvw7BpnUHG89yt8fNxH7
0.351,0.32,5hQSXkFgbxjZo9uCwd11so
0.148,0.334,2mdEsXPu8ZmkHRRtAdC09e
0.291,0.538,75ZvA4QfFiZvzhj2xkaWAh
0.664,0.647,5WnfnSpuNEGXyEt78PBA6d
0.707,0.68,6foY66mWZN0pSRjZ408c00
0.382,0.402,2rxQMGVafnNaRaXlRMWPde
0.536,0.587,3Ol2xnObFdKV9pmRD2t9x8
0.394,0.73,7f1zjZG77S891Uv4O68yfk
0.678,0.772,3WyRgi8CzQnhzO0xw79tTS
0.657,0.679,4ak7xjvBeBOcJGWFDX9w5n
0.274,0.636,2t8yVaLvJ0RenpXUIAC52d
0.533,0.488,5p7ujcrUXASCNwRaWNHR1C
0.629,0.649,0BOmhToQ03yOdpzYKMEnAg
0.404,0.678,6oJ6le65B3SEqPwMRNXWjY
0.412,0.653,3e9HZxeyfWwjeyPAMmWSSQ
0.255,0.555,0rFQ5cKYJ9WtHSKp9sxVYt
0.335,0.57,3npzogdOEiVsieXmmhBepL
0.528,0.669,6qWSHYcZEvE0MIcH2WmB23
0.437,0.391,7m9OqQk4RVRkw9JJdeAw96
0.196,0.389,4SSnFejRGlZikf02HLewEF
0.64,0.863,7nfmK6oHPDlAd68A11d7AN
0.579,0.311,3707IBa4HnS3zDDoWfeUBl
0.42,0.603,3LxG9HkMMFP0MZuiw3O2rF
0.711,0.537,0JP9xo3adEtGSdUEISiszL
0.203,0.529,4VXIryQMWpIdGgYR4TrjT1
0.244,0.545,3QzAOrNlsabgbMwlZt7TAY
0.459,0.56,3swc6WTsr7rl9DqQKQA55C
0.651,0.642,36orMWv2PgvnzXsd5CJ0yL
0.816,0.755,2qMnZF5Ja2WvmfbblByQza
0.224,0.404,4u7EnebtmKWzUH433cf5Qv
0.874,0.496,0DiDStADDVh3SvAsoJAFMk
0.759,0.768,6kls8cSlUyHW2BUOkDJIZE
0.313,0.638,3A2yGHWIzmGEIolwonU69h
0.492,0.804,3a1lNhkSLSkpJE4MSHpDu9
0.579,0.759,7BlBVFwvbWvcwNcUarQmjk
0.258,0.493,1FUVCa49nKsPRuznGVrIFY
0.504,0.603,0FZ4Dmg8jJJAPJnvBIzD9z
0.58,0.786,4R8BJggjosTswLxtkw8V7P
0.265,0.496,1fzAuUVbzlhZ1lJAx9PtY6
0.196,0.628,6xcJyGpfZbuuiequtnlKt4
0.523,0.474,2JdIqJBbIiwEah4ejqIWGj
0.421,0.182,4AYtqFyFbX0Xkc2wtcygTr
0.494,0.581,42fw0rxRO2xbesF6mJfd4Y
0.493,0.558,7zLYKWcXnYeHHWidalz7rj
0.257,0.703,1gZFRYcPz3wKevEaNYRwfW
0.185,0.26,6OG05bPAwUuV3OMvy2Vy1P
0.341,0.44,5kfNriitmkNE8mUbZ7gbq8
0.615,0.552,1ThmUihH9dF8EV08ku5AXN
0.422,0.528,4XiGKQqbmnMVxDzUj6j3f2
0.347,0.52,6Qs4SXO9dwPj5GKvVOv8Ki
0.241,0.0694,5tyMJlMqaggzvuX7TtlrTe
0.763,0.79,4bTZeO72FwMa6wKOiqoynL
0.152,0.854,2iUXsYOEPhVqEBwsqP70rE
0.681,0.904,1rqqCSm0Qe4I9rUvWncaom
0.401,0.75,7GX5flRQZVHRAGd6B4TmDO
0.335,0.554,4kV4N9D1iKVxx1KLvtTpjS
0.144,0.554,7lAK3oHbfEnvUQWosrMMpR
0.315,0.298,3hwQhakFwm9soLEBnSDH17
0.742,0.743,14mHfNsSHN0FbLftyjrV9g
0.404,0.415,0HJvoOkpflwYJb21VkTmGD
0.323,0.385,2VxeLyX666F8uXCJ0dZF8B
0.157,0.37,2uIX8YMNjGMD7441kqyyNU
0.562,0.346,6vN77lE9LK6HP2DewaN6HZ
0.12,0.131,6CcJMwBtXByIz4zQLzFkKc
0.545,0.175,1SmiQ65iSAbPto6gPFlBYm
0.431,0.453,4ZT9FnbFu1PaBfV3itxiqT
0.329,0.533,7AQim7LbvFVZJE3O8TYgf2
0.589,0.772,4e4fqjx0Izh4svvTef1z7e
0.65,0.726,58q2HKrzhC3ozto2nDdN4z
0.419,0.505,2P91MQbaiQOfbiz9VqhqKQ
0.192,0.23,6ERZ30cRjVWGtVLhczX9aL
0.282,0.351,3Fj47GNK2kUF0uaEDgXLaD
0.385,0.882,5PYQUBXc7NYeI1obMKSJK0
0.91,0.823,1DhRbox3xkceP64k3JeYfW
0.507,0.53,0F7FA14euOIX8KcbEturGH
0.261,0.625,1xzBco0xcoJEDXktl7Jxrr
0.845,0.67,5wujBwqG7INdStqGd4tRMX
0.501,0.702,1SNiXDwSilLujcYdvfqVpT
0.423,0.412,0TlLq3lA83rQOYtrqBqSct
0.357,0.449,6DCZcSspjsKoFjzjrWoCdn
0.394,0.539,5Z3GHaZ6ec9bsiI5BenrbY
0.217,0.752,1dyxS3YzBbL0t8rEVwVQ1K
0.326,0.449,152lZdxL1OR0ZMW6KquMif
0.727,0.851,6lUNNXp7M8boA7gUEd6PSm
0.516,0.538,6U0FIYXCQ3TGrk4tFpLrEA
0.608,0.178,18uwL0vNUanqZH0ro2QcOP
0.45,0.43,4dAMdQ6g4kGmnc1MDHsg77
0.0677,0.303,4qUtC2BwFC154Ha8YQRrkk
0.493,0.537,5qrSlOut2rNAWv3ubArkNy
0.588,0.722,6nBQFAIVFmAx2oZ8p6lUg6
0.0561,0.529,03sEzk1VyrUZSgyhoQR0LZ
0.359,0.613,2toVe5hfuIi97ytDPDbQFt
0.534,0.758,4VginDwYTP2eaHJzO0QMjG
0.226,0.642,6EOKwHETwSkZ9gW2b6ASE0
0.412,0.624,5qmq61DAAOUaW8AUo8xKhh
0.749,0.548,6v3KW9xbzN5yKLt9YKDYA2
0.175,0.653,6vBdBCoOhKHiYDDOcorfNo
0.453,0.543,1dGr1c8CrMLDpV6mPbImSI
0.137,0.454,6XHVuErjQ4XNm6nDPVCxVX
0.101,0.502,5ry2OE6R2zPQFDO85XkgRb
0.633,0.658,3RauEVgRgj1IuWdJ9fDs70
0.206,0.517,3s4mrPrEFFPF0LmAfutW0n
0.913,0.479,3KkXRkHbMCARz0aVfEt68P
0.446,0.405,7qEHsqek33rTcFNT9PFqLf
0.702,0.795,0Ryd8975WihbObpp5cPW1t
0.475,0.594,6fTt0CH2t0mdeB2N9XFG5r
0.562,0.425,2Fxmhks0bxGSBdJ92vM42m
0.714,0.671,6RRNNciQGZEXnqk8SQ9yv5
0.546,0.647,70eFcWOvlMObDhURTqT4Fv
0.345,0.682,6b2RcmUt1g9N9mQ3CbjX2Y
0.844,0.662,2gwkD6igEhQbDQegRCcdoB
0.46,0.463,5MPPttjfGap2C6j6eKcO6J
0.564,0.702,1BxfuPKGuaTgP7aM0Bbdwr
0.535,0.919,3Yh9lZcWyKrK9GjbhuS0hR
0.496,0.391,51Fjme0JiitpyXKuyQiCDo
0.892,0.596,1GeNui6m825V8jP4uKiIaH
0.186,0.561,6alCTRgBPoeAFi2N4il9Q4
0.678,0.559,7aiClxsDWFRQ0Kzk5KI5ku
0.559,0.651,5Z8HZM6iQMhhqyPcCGY5g9
0.541,0.316,43rA71bccXFGD4C8GOpIlN
0.57,0.814,5N1o6d8zGcSZSeMFkOUQOk
0.905,0.743,643PW82aBMUa1FiWi5VQY7
0.288,0.538,44ADyYoY5liaRa3EOAl4uf
0.385,0.665,0DZJACISivjWjscIp5Kg1q
0.831,0.532,3TLwAp3uX1nKsVxrDhNPOL
0.881,0.887,0rIAC4PXANcKmitJfoqmVm
0.312,0.525,2zjGJ0dChMR0KxBZS15aqo
0.261,0.639,6uFn47ACjqYkc0jADwEdj1
0.678,0.558,322tcqPhma7F6hfCeLisx0
0.51,0.582,5xjei7JnROsAzLY2a7RdZU
0.865,0.719,4y5bvROuBDPr5fuwXbIBZR
0.54,0.593,1rgnBhdG2JDFTbYkYRZAku
0.346,0.4,6TqXcAFInzjp0bODyvrWEq
0.568,0.511,67XyC1GdSkKb9sbRRkUDXS
0.605,0.65,6cjSh516BbrNUs213jDAGm
0.138,0.215,3RIgHHpnFKj5Rni1shokDj
0.639,0.619,2YpeDb67231RjR0MgVLzsG
0.843,0.676,0hVXuCcriWRGvwMV1r5Yn9
0.463,0.364,2JvzF1RMd7lE3KmFlsyZD8
0.416,0.366,2YWtcWi3a83pdEg3Gif4Pd
0.385,0.539,6MWtB6iiXyIwun0YzU6DFP
0.609,0.808,2ksOAxtIxY8yElEWw8RhgK
0.413,0.498,5hVghJ4KaYES3BFUATCYn0
0.728,0.83,2Rk4JlNc2TPmZe2af99d45
0.487,0.747,214nt20w5wOxJnY462klLw
0.397,0.463,6moU77g9RQyMzHNuKEaQKq
0.695,0.547,4sjiIpEv617LDXaidKioOI
0.446,0.73,2xLMifQCjDGFmkHkpNLD9h
0.554,0.519,4a6q8CR2hzLk2plDkSxkfD
0.248,0.624,12M5uqx0ZuwkpLp5rJim1a
0.265,0.687,2B9wgj9XzbJZLty03PRbVo
0.357,0.505,6wo37KVqFJhtuxPTpLCcfe
0.496,0.538,0Oqc0kKFsQ6MhFOLBNZIGX
0.557,0.71,1LLXZFeAHK9R4xUramtUKw
0.313,0.732,2dgFqt3w9xIQRjhPtwNk3D
0.322,0.502,0UPBidRYcgJ2mjZlk08V8x
0.439,0.623,4hPpVbbakQNv8YTHYaOJP4
0.166,0.574,3pHkh7d0lzM2AldUtz2x37
0.42,0.461,26wLOs3ZuHJa2Ihhx6QIE6
0.544,0.496,2IRZnDFmlqMuOrYOLnZZyc
0.203,0.452,7MtVPRGtZl6rPjMfLoI3Lh
